"País","Departamento","Ciudad o Municipio","Localidad","Departamento con código","Municipio con código","Comment","Comment User","Comment Date","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"Colombia","Antioquia","Ebejico","Corregimiento Guayabal","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","96","t72rv"
"Colombia","Antioquia","Ebejico","Corregimiento La Clara","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","97","9tt5z"
"Colombia","Antioquia","Ebejico","Corregimiento Sevilla","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","98","vhjgw"
"Colombia","Antioquia","El Bagre","No Aplica","ANTIOQUIA - 1","EL BAGRE - 117","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","99","lleza"
"Colombia","Antioquia","Entrerrios","No Aplica","ANTIOQUIA - 1","ENTRERRIOS - 118","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","100","tehqd"
"Colombia","Antioquia","Guadalupe","No Aplica","ANTIOQUIA - 1","GUADALUPE - 140","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","101","1b552"
"Colombia","Antioquia","Guarne","No Aplica","ANTIOQUIA - 1","GUARNE - 142","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","102","gohnd"
"Colombia","Antioquia","Guatape","No Aplica","ANTIOQUIA - 1","GUATAPE - 145","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","103","yu9wy"
"Colombia","Antioquia","Heliconia","No Aplica","ANTIOQUIA - 1","HELICONIA - 148","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","104","tmrln"
"Colombia","Antioquia","Hispania","No Aplica","ANTIOQUIA - 1","HISPANIA - 150","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","105","r89ml"
"Colombia","Antioquia","Itagui","Comuna 1","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","106","yjfs0"
"Colombia","Antioquia","Itagui","Comuna 2","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","107","kp0uf"
"Colombia","Antioquia","Itagui","Comuna 3","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","108","m2por"
"Colombia","Antioquia","Itagui","Comuna 4","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","109","v5jd0"
"Colombia","Antioquia","Envigado","No Aplica","ANTIOQUIA - 1","ENVIGADO - 121","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","110","babqn"
"Colombia","Antioquia","Fredonia","No Aplica","ANTIOQUIA - 1","FREDONIA - 124","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","111","pmh5g"
"Colombia","Antioquia","Frontino","No Aplica","ANTIOQUIA - 1","FRONTINO - 127","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","112","acpau"
"Colombia","Antioquia","Giraldo","No Aplica","ANTIOQUIA - 1","GIRALDO - 130","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","113","w5s2h"
"Colombia","Antioquia","Girardota","No Aplica","ANTIOQUIA - 1","GIRARDOTA - 133","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","114","5ioj"
"Colombia","Antioquia","Gomez Plata","Otros","ANTIOQUIA - 1","GOMEZ PLATA - 136","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","115","zs1tr"
"Colombia","Antioquia","Gomez Plata","Corregimiento El Salto","ANTIOQUIA - 1","GOMEZ PLATA - 136","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","116","i4sq6"
"Colombia","Antioquia","Gomez Plata","Corregimiento San Matias","ANTIOQUIA - 1","GOMEZ PLATA - 136","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","117","idds3"
"Colombia","Antioquia","Gomez Plata","Corregimiento La Estrella","ANTIOQUIA - 1","GOMEZ PLATA - 136","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","118","5xp1y"
